Status,Priority,Due Date,Task,Channel,Owner,Next Step,Link,Source
Open,,,"<https://www.notion.so/quickerleads/Pre-book-dev-time-to-implement-new-schedulebot-for-Magnify-Electric-as-per-Slack-Christopher-Belg-c80789b23d394fb9aa9dd3fcc3828060?v=28f1c9f5b34f80dd97d8000c884740f8&amp;source=copy_link|https://www.notion.so/quickerleads/Pre-book-dev-time-to-implement-new-schedulebot-f[…]fcc3828060?v=28f1c9f5b34f80dd97d8000c884740f8&amp;source=copy_link> Do you have more information about this task, please? <@U0A6MGN9S77> <@U070JEH0746>",ss-magnify-website-management-and-hosting-wp,Francisco,,,slack
Open,,,Nice one <@U095BK30FKQ>,ss-eds-pumps-website-management,Christopher Belgrave,,,slack
Open,,,Thank you! <@U0A6MGN9S77> I'll add it to the LPs tomorrow.,ss-eds-pumps-website-management,Italo Germando,,,slack
Open,,,it is 3 so just them you mentioned <@U095BK30FKQ> I ended up doing a few too many :face_exhaling:,ss-eds-pumps-website-management,Christopher Belgrave,,,slack
Open,,,"<@U0A6MGN9S77> I believe it is only 3 LP: Home, Water Treatment, and Pump Install and Service. In this case, it would only be three copies. But I may be mistaken, so it would be good to confirm.",ss-eds-pumps-website-management,Italo Germando,,,slack
Open,,,Copy for landing pages is done <@U095BK30FKQ> <https://docs.google.com/spreadsheets/d/15kWegs88uKEsGrpQmZiSHLuP5vzhKXKGPEH0c7osmBo/edit?usp=sharing>,ss-eds-pumps-website-management,Christopher Belgrave,,,slack
Open,,,<@U07AQ2K1U7J> Me too :rolling_on_the_floor_laughing:,ss-seaside-toolbox-website,Italo Germando,,,slack
Open,,,Legend thanks <@U095BK30FKQ>,ss-seaside-toolbox-website,Craig Noonan,,,slack
Open,,,"<@U070JEH0746> It seems that one of the plugins was disabled, so I enabled it and regenerated the website code.",ss-seaside-toolbox-website,Italo Germando,,,slack
Open,,,Looks good to me! Thank you <@U095BK30FKQ>!,ss-seaside-toolbox-website,Craig Noonan,,,slack
Open,,,<@U070JEH0746> Done! Can you check if everything is OK for you in an incognito tab?,ss-seaside-toolbox-website,Italo Germando,,,slack
Open,,,<@U095BK30FKQ> could you take a look at this when you get a chance please,ss-seaside-toolbox-website,Craig Noonan,,,slack
Open,,,Thanks <@U095BK30FKQ>,ss-michaelis-website-management-and-hosting-,Craig Noonan,,,slack
Open,,,<@U070JEH0746>,ss-michaelis-website-management-and-hosting-,Italo Germando,,,slack
Open,,,"<@U070JEH0746> And on the career page, do I replace the old one with the new one? According to the staff list, I think the other one is no longer working there.",ss-michaelis-website-management-and-hosting-,Italo Germando,,,slack
Open,,,<@U070JEH0746> Any answers?,ss-michaelis-website-management-and-hosting-,Italo Germando,,,slack
Open,,,Thanks <@U095BK30FKQ>,ss-michaelis-website-management-and-hosting-,Craig Noonan,,,slack
Open,,,"<@U070JEH0746> Nah, I can do it now.",ss-michaelis-website-management-and-hosting-,Italo Germando,,,slack
Open,,,Thanks <@U095BK30FKQ>,ss-michaelis-website-management-and-hosting-,Craig Noonan,,,slack
Open,,,"<@U070JEH0746> In marketing, there was only Mady. For now, I will hide the marketing section in case they hire someone new.",ss-michaelis-website-management-and-hosting-,Italo Germando,,,slack
Open,,,Do they burn through people like that? Revolving door of employees? <@U07AQ2K1U7J>,ss-michaelis-website-management-and-hosting-,Christopher Belgrave,,,slack
Open,,,"<@U070JEH0746> Just to confirm, should I remove everything from Zach and put Lance in his place? :white_check_mark: Text “I’m loving working here!” fixed",ss-michaelis-website-management-and-hosting-,Italo Germando,,,slack
Open,,,"So, what was done today: 1) Added new tracking scripts to the landing pages. Now, if the user accesses the LPs from certain sources, UTMs will appear automatically. Note: This doesn't work across the entire internet. Only the browser is tracked. So, sources like email, messages, Slack, if they don't have a UTM applied to the link, will appear blank in GHL. 2) Homepage script review: there were no errors, but I tried to make some improvements to the ""source,"" but it didn't work. I'll create a new form in GHL and insert it into the website; this way, all forms on the website will be 100% GHL, avoiding interference. 3) There are several traffic sources: forms on the website, Calendly calendars, etc. Not all can be 100% integrated, but I'll investigate further. Calendly, for example, isn't applying UTMs (automatically). 4) As I said, there are some limitations regarding knowing exactly where the lead comes from. This company has a forms system that uses AI to identify the source, but it could be a solution in the future: <https://withsurface.com/product/forms-and-workflows|>. <@U07AQ2K1U7J|Lisa Appleby> <@U05UTGNRREX> <@U0A6MGN9S77|Christopher Belgrave> cc <@U08RRG2N6AC|Eloise>",mpdm-eloise--lisa--francisco--christopher--kmalloy-1,francisco,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769721393530799,slack_search
Open,,,okay! thank you <@U08RRG2N6AC|Eloise>,mpdm-eloise--lisa--francisco--christopher--kmalloy-1,francisco,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769719698836839,slack_search
Open,,,nope! I only use the upgrade-your-marketing one <@U088D41PZ44|Francisco> all good :slightly_smiling_face:,mpdm-eloise--lisa--francisco--christopher--kmalloy-1,eloise,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769719635280159,slack_search
Open,,,just an idea,mpdm-eloise--lisa--francisco--christopher--kmalloy-1,francisco,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769719393935109,slack_search
Open,,,"<https://servicescalers.com/|> Do you also use the homepage form in your campaigns? I was thinking of migrating to a GHL form, to make it 100% GHL <@U08RRG2N6AC|Eloise>",mpdm-eloise--lisa--francisco--christopher--kmalloy-1,francisco,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769719379540849,slack_search
Open,,,<https://servicescalers.com/upgrade-your-marketing|>,mpdm-eloise--lisa--francisco--christopher--kmalloy-1,francisco,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769719309907649?thread_ts=1769712248.050499,slack_search
Open,,,done <@U08RRG2N6AC|Eloise>,mpdm-eloise--lisa--francisco--christopher--kmalloy-1,francisco,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769719295421109?thread_ts=1769712248.050499,slack_search
Open,,,I'll add the script in a bit <@U08RRG2N6AC|Eloise>,mpdm-eloise--lisa--francisco--christopher--kmalloy-1,francisco,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769718751017649?thread_ts=1769712248.050499,slack_search
Open,,,"<@U088D41PZ44|Francisco> I have removed the validation, can I test right away, or do you need to apply the script to this specific page now?",mpdm-eloise--lisa--francisco--christopher--kmalloy-1,eloise,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769718713634529?thread_ts=1769712248.050499,slack_search
Open,,,"okay <@U088D41PZ44|Francisco>, just done some research and testing... the script won't overwrite UTMs that already exist, but will ADD them if they don't exist already - am I correct in this? let me remove the email validation from the form and we can test properly!",mpdm-eloise--lisa--francisco--christopher--kmalloy-1,eloise,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769718612404649?thread_ts=1769712248.050499,slack_search
Open,,,"if they're specific UTMs that are being use, we should be fine? But we should absolutely test! don't want anything to break",mpdm-eloise--lisa--francisco--christopher--kmalloy-1,kmalloy,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769717923153989?thread_ts=1769712248.050499,slack_search
Open,,,thank you <@U08RRG2N6AC|Eloise>,mpdm-eloise--lisa--francisco--christopher--kmalloy-1,francisco,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769717913662569?thread_ts=1769712248.050499,slack_search
Open,,,"Potentially <@U088D41PZ44|Francisco> but let me do some testing! <@U05UTGNRREX> we have those hardcoded UTMs in for all ads, idk how it's going to interact",mpdm-eloise--lisa--francisco--christopher--kmalloy-1,eloise,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769717466814749?thread_ts=1769712248.050499,slack_search
Open,,,Appreciate it,U08RRG2N6AC,eloise,,https://quickerleads.slack.com/archives/D0ABU9L779Q/p1769716484039559,slack_search
Open,,,Thank you!!,U08RRG2N6AC,eloise,,https://quickerleads.slack.com/archives/D0ABU9L779Q/p1769716479467309,slack_search
Open,,,Or at least just to get the copy approved by the client for PPC only pages,U08RRG2N6AC,eloise,,https://quickerleads.slack.com/archives/D0ABU9L779Q/p1769716191145419,slack_search
Open,,,Thank you! Are we going to get something in the channel so Italo can get on it today?,U08RRG2N6AC,eloise,,https://quickerleads.slack.com/archives/D0ABU9L779Q/p1769716091049029,slack_search
Open,,,"Other than that, perfect!",U08RRG2N6AC,eloise,,https://quickerleads.slack.com/archives/D0ABU9L779Q/p1769715876566599,slack_search
Open,,,"Hey <@U0A6MGN9S77|Christopher Belgrave> ! Looking good so far! Only comment, for the top fold where you have the quote CTAs, could we have a lead gen form to the right hand side, and two CTA buttons under the text to the left, one for request a quote and the other for call CTA?",U08RRG2N6AC,eloise,,https://quickerleads.slack.com/archives/D0ABU9L779Q/p1769715876315809,slack_search
Open,,,I'm sure the other content can be used somewhere,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769715284963729,slack_search
Open,,,great,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769715192546259,slack_search
Open,,,"please share with Eloise, she confirms copy for google ads landing pages",U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769715166607919,slack_search
Open,,,they are written on the ticket and on the channel,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769715152109799,slack_search
Open,,,there are only 3 landing pages 1 of which is already complete,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769714985067579,slack_search
Open,,,I'm confused by the doc you shared,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769714961699709,slack_search
Open,,,<@U0A6MGN9S77|Christopher Belgrave> and I were chatting yesterday and agreed that there is some standardization/ spring cleaning that needs to happen. Seems like there are multiple forms and styles of forms from GHL and webflow going on with the Service Scalers site.,mpdm-eloise--lisa--francisco--christopher--kmalloy-1,kmalloy,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769712973105799,slack_search
Open,,,ok thank syou,mpdm-eloise--lisa--francisco--christopher--kmalloy-1,kmalloy,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769712913362799?thread_ts=1769712372.844779,slack_search
Open,,,"Example: <https://servicescalers.com/free-marketing-giveaway?utm_source=whatsapp&utm_medium=message&utm_campaign=share|> Exactly! The logic of UTM is to apply the URL ""manually"". What I'm trying to do to help you is to automate this process from the sources (Google/LinkedIn, etc.). <@U05UTGNRREX>",mpdm-eloise--lisa--francisco--christopher--kmalloy-1,francisco,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769712653999529?thread_ts=1769712372.844779,slack_search
Open,,,Could this interfere with anything in Google Ads? <@U08RRG2N6AC|Eloise>,mpdm-eloise--lisa--francisco--christopher--kmalloy-1,francisco,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769712575317129?thread_ts=1769712248.050499,slack_search
Open,,,"<https://servicescalers.com/upgrade-your-marketing|> • This page asks me to validate my email in the form, is that necessary? I'm having trouble injecting the automatic script <@U08RRG2N6AC|Eloise>",mpdm-eloise--lisa--francisco--christopher--kmalloy-1,francisco,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769712531758359,slack_search
Open,,,when you say manually... you mean linking with a UTM in a newsletter will populate in GHL?,mpdm-eloise--lisa--francisco--christopher--kmalloy-1,kmalloy,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769712372844779?thread_ts=1769712372.844779,slack_search
Open,,,"<https://servicescalers.com/free-marketing-giveaway|> • I added an extra script in Webflow to automatically inject UTMs, but this won't work for all sources, only those via browser. • Sources like WhatsApp/Slack/Email always show as direct, unless you use the UTM manually <@U05UTGNRREX> <@U0A6MGN9S77|Christopher Belgrave> <@U07AQ2K1U7J|Lisa Appleby>",mpdm-eloise--lisa--francisco--christopher--kmalloy-1,francisco,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769712248050499?thread_ts=1769712248.050499,slack_search
Open,,,"Sweet, thank you!",U07AQ2K1U7J,lisa,,https://quickerleads.slack.com/archives/D0A7NRB5HDW/p1769710043346219,slack_search
Open,,,"so they can just select say, Portland from a list rather than type it in every time",U07AQ2K1U7J,lisa,,https://quickerleads.slack.com/archives/D0A7NRB5HDW/p1769709925918139,slack_search
Open,,,in that greenhaus sheet can we make the project type and location columns be like options,U07AQ2K1U7J,lisa,,https://quickerleads.slack.com/archives/D0A7NRB5HDW/p1769709866749459,slack_search
Open,,,working <@U05UTGNRREX> :slightly_smiling_face:,mpdm-eloise--lisa--francisco--christopher--kmalloy-1,francisco,,https://quickerleads.slack.com/archives/C0ABJUAK9MY/p1769708264602569,slack_search
Open,,,okay great,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769707486280519,slack_search
Open,,,it's on the thread in EDS,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769705518728019,slack_search
Open,,,whatever works for you though honestly!,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769704971394399,slack_search
Open,,,gotcha! thanks,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769703794506569,slack_search
Open,,,Priority should also be EDS please ads are supposed to go live Monday,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769703764067049,slack_search
Open,,,Thanks but this isn't my area You didn't wanna use the site map?,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769703736018339,slack_search
Open,,,that's all,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769701034118919,slack_search
Open,,,i added a column to the first page,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769701032515869,slack_search
Open,,,we don't need the agency page,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769701025917589,slack_search
Open,,,and see if the devs have already published the current posts on the new format,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769700991552039,slack_search
Open,,,"well, we need to remove the extra pages first",U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769700970254289,slack_search
Open,,,please share with Lisa,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769700691937489,slack_search
Open,,,I've done it,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769700679406519,slack_search
Open,,,just literally a box to confirm if the page was created and published,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769700364827789,slack_search
Open,,,we don't need all that,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769700350617589,slack_search
Open,,,no need for the agency page Just add a colums at the end in column T with a tickbox for is it was published to the site,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769700285134179,slack_search
Open,,,are they the existing projects?,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769700238804559,slack_search
Open,,,all of these,U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769700228248319,slack_search
Open,,,"no, the examples that are filled in already",U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769700197378299,slack_search
Open,,,"cool, thanks Just renaming some of the headers so it's easier are these all from the existing site?",U08PU57F472,emily766,,https://quickerleads.slack.com/archives/D0A79AZQM3K/p1769700147403939,slack_search
Open,,,some of them tasks are assigned to wrong dev <@U0A6MGN9S77|Christopher Belgrave>,U07AQ2K1U7J,lisa,,https://quickerleads.slack.com/archives/D0A7NRB5HDW/p1769697547208819,slack_search
Open,,,sheet is spot on <@U0A6MGN9S77|Christopher Belgrave>,U07AQ2K1U7J,lisa,,https://quickerleads.slack.com/archives/D0A7NRB5HDW/p1769695849184319,slack_search
Open,,,(don't forget to post in standup!),U07AQ2K1U7J,lisa,,https://quickerleads.slack.com/archives/D0A7NRB5HDW/p1769695572920489,slack_search
Open,,,brb,U07AQ2K1U7J,lisa,,https://quickerleads.slack.com/archives/D0A7NRB5HDW/p1769695552770189,slack_search
Open,,,I'll take a look rn,U07AQ2K1U7J,lisa,,https://quickerleads.slack.com/archives/D0A7NRB5HDW/p1769695551093909,slack_search
Open,,,it was!,U07AQ2K1U7J,lisa,,https://quickerleads.slack.com/archives/D0A7NRB5HDW/p1769695544457599,slack_search
Open,,,These tasks are mixed between completed/mine/italo <@U0A6MGN9S77|Christopher Belgrave> <@U07AQ2K1U7J|Lisa Appleby> :point_up_2:,ss-website-pod,francisco,,https://quickerleads.slack.com/archives/C085B73T2JE/p1769698050371639?thread_ts=1769696978.514879,slack_search
Open,,,"Can we add this photo somewhere on the website? It is a great shot of our service van in front of the USS Constitution, a historical landmark here in MA. Could be good for the Greater Boston service pages? I can send a higher res version if needed. <@U088D41PZ44|Francisco> <@U0A6MGN9S77|Christopher Belgrave> if Francisco doesn't have time now, can you make a ticket please?",ss-minuteman-water-heaters-website-management,emily766,,https://quickerleads.slack.com/archives/C096BAE8UKE/p1769707015617459,slack_search
Open,,,Seaside Toolbox: • Broken layout fixed • CSS code regenerated Michaelis: • Employees removed and added • Career page fixed Clear Choice: • 10 pages of locations completed EDS LPs: • In Progress <@U07AQ2K1U7J|Lisa Appleby> <@U0A6MGN9S77|Christopher Belgrave>,ss-website-pod,italo,,https://quickerleads.slack.com/archives/C085B73T2JE/p1769723529918719,slack_search
Open,,,"Magnify - chatbot/scheduler • Installed • Scheduler script inserted into the home page buttons (missing from the rest of the website) Service Scalers - UTM system • New tracking scripts installed on landing pages • UTM revisions in GHL • Still in progress (New form on the homepage, integration, etc) ProSewer SEO • 8 pages of completed content Parker and Co • in progress <@U07AQ2K1U7J|Lisa Appleby> <@U0A6MGN9S77|Christopher Belgrave>",ss-website-pod,francisco,,https://quickerleads.slack.com/archives/C085B73T2JE/p1769721300495449,slack_search
Open,,,"<https://www.notion.so/quickerleads/Pre-book-dev-time-to-implement-new-schedulebot-for-Magnify-Electric-as-per-Slack-Christopher-Belg-c80789b23d394fb9aa9dd3fcc3828060?v=28f1c9f5b34f80dd97d8000c884740f8&source=copy_link|https://www.notion.so/quickerleads/Pre-book-dev-time-to-implement-new-schedulebot-f[…]fcc3828060?v=28f1c9f5b34f80dd97d8000c884740f8&amp;source=copy_link> Do you have more information about this task, please? <@U0A6MGN9S77|Christopher Belgrave> <@U070JEH0746|Craig Noonan>",ss-magnify-website-management-and-hosting-wp,francisco,,https://quickerleads.slack.com/archives/C07RX8T33L6/p1769718039231009,slack_search
Open,,,Hey <!here> can we pencil in a Landing page for Trips windows next week please We will be kicking off with Google Ads and LP to support Will be for Window Cleaning <https://tripswindows.com/|> Free of charge <@U0A6MGN9S77|Christopher Belgrave> can you add a ticket ? <@U08RRG2N6AC|Eloise> please share a screenshot of keywords!,ss-trips-windows-landing-page,emily766,,https://quickerleads.slack.com/archives/C0ABTQTCM3L/p1769710550748029,slack_search
Open,,,"<@U0A6MGN9S77|Christopher Belgrave> I believe it is only 3 LP: Home, Water Treatment, and Pump Install and Service. In this case, it would only be three copies. But I may be mistaken, so it would be good to confirm.",ss-eds-pumps-website-management,italo,,https://quickerleads.slack.com/archives/C0A21JKL0E7/p1769719249216089,slack_search
Open,,,Thank you! <@U0A6MGN9S77|Christopher Belgrave> I'll add it to the LPs tomorrow.,ss-eds-pumps-website-management,italo,,https://quickerleads.slack.com/archives/C0A21JKL0E7/p1769719644115419,slack_search
Open,,,":mega: STATUS CHANGE NOTIFICATION • Client: Magnify Electric | Website Management • Task: I need 3 x PPC LPs, I don't think any copy needs doing, as the LPs themselves have good copy, just not conversion optimized right now. 1. <https://magnifyelectric.com/electricalservices/ev-charging-outlet-and-wall-mounted-chargers/|https://magnifyelectric.com/electricalservices/ev-charging-outlet-and-wall-mounted-chargers/> 2. <https://magnifyelectric.com/electricalservices/panel-upgrades-and-repairs/|https://magnifyelectric.com/electricalservices/panel-upgrades-and-repairs/> 3. <https://magnifyelectric.com/electricalservices/portable-generators/|https://magnifyelectric.com/electricalservices/portable-generators/> (this one is a priority) Could you please assist in getting new LPs generated that are no-index for PPC purposes only that follow our standard lead-gen template? • Status: Ticket Complete • Changed by: Francisco Oliveira • Date: January 29, 2026 at 2:24 PM :memo: COMMENT INFORMATION • Comment: [No Comment] • Left by: Francisco Oliveira • For: Christopher Belgrave, Francisco Oliveira • Date: January 29, 2026 at 2:24 PM",ss-website-tickets,notion,,https://quickerleads.slack.com/archives/C09LNC16K55/p1769696696595309,slack_search
Open,,,":memo: This Task Has A New Comment • Client: Minuteman Water Heaters | Website Management • Task: Emily A requested adding a photo of the Minuteman service van in front of the USS Constitution (a historical landmark in MA) to the website. Suggested placement: Greater Boston service pages Note: Emily can provide a higher resolution version if needed. Source: Slack message from Emily A at 1:16 PM • Comment: Add USS Constitution service van photo to website • From: Christopher Belgrave • To: Francisco Oliveira, Christopher Belgrave",ss-website-tickets,notion,,https://quickerleads.slack.com/archives/C09LNC16K55/p1769709279533009,slack_search
